,Ranking,Player,Age,Points,Tourn Played,profile_url,Aces,Double Faults,1st Serve,1st Serve Points Won,2nd Serve Points Won,Break Points Faced,Break Points Saved,Service Games Played,Service Games Won,Total Service Points Won,1st Serve Return Points Won,2nd Serve Return Points Won,Break Points Opportunities,Break Points Converted,Return Games Played,Return Games Won,Return Points Won,Total Points Won
0,1,Novak Djokovic,33,"12,030",18,https://www.atptour.com/en/players/novak-djokovic/d643/overview,"5,870","2,478",65%,74%,55%,"5,573",65%,"13,516",86%,67%,34%,55%,"9,497",44%,"13,141",32%,42%,54%
1,2,Rafael Nadal,34,"9,850",18,https://www.atptour.com/en/players/rafael-nadal/n409/overview,"3,604","1,878",68%,72%,57%,"5,926",67%,"13,943",86%,67%,34%,55%,"10,299",45%,"13,824",34%,42%,55%
2,3,Dominic Thiem,27,"9,125",21,https://www.atptour.com/en/players/dominic-thiem/tb69/overview,"2,615","1,244",60%,74%,53%,"2,569",63%,"5,592",83%,66%,30%,50%,"3,376",39%,"5,605",24%,38%,51%
3,4,Daniil Medvedev,24,"8,470",24,https://www.atptour.com/en/players/daniil-medvedev/mm58/overview,"1,881",815,59%,74%,52%,"1,389",62%,"2,909",82%,65%,30%,53%,"1,812",40%,"2,921",25%,39%,52%
4,5,Roger Federer,39,"6,630",16,https://www.atptour.com/en/players/roger-federer/f324/overview,"11,344","2,742",62%,77%,57%,"6,367",67%,"18,630",89%,70%,33%,51%,"11,822",41%,"18,229",27%,40%,54%
5,6,Stefanos Tsitsipas,22,"5,925",28,https://www.atptour.com/en/players/stefanos-tsitsipas/te51/overview,"1,455",477,62%,76%,54%,"1,075",64%,"2,677",85%,67%,28%,48%,"1,344",38%,"2,625",20%,36%,51%
6,7,Alexander Zverev,23,"5,525",27,https://www.atptour.com/en/players/alexander-zverev/z355/overview,"2,942","1,554",64%,74%,49%,"2,191",61%,"4,635",81%,65%,30%,51%,"2,747",42%,"4,639",25%,38%,51%
7,8,Andrey Rublev,23,"4,119",26,https://www.atptour.com/en/players/andrey-rublev/re44/overview,"1,241",664,60%,73%,50%,"1,357",61%,"2,544",79%,64%,30%,53%,"1,592",40%,"2,566",25%,39%,51%
8,9,Diego Schwartzman,28,"3,455",26,https://www.atptour.com/en/players/diego-schwartzman/sm37/overview,678,857,62%,66%,50%,"2,322",56%,"3,652",72%,60%,33%,55%,"2,688",44%,"3,698",32%,42%,51%
9,10,Matteo Berrettini,24,"3,075",21,https://www.atptour.com/en/players/matteo-berrettini/bk40/overview,"1,022",258,61%,77%,54%,627,66%,"1,563",86%,68%,27%,47%,772,35%,"1,566",17%,35%,51%
10,11,Gael Monfils,34,"2,860",23,https://www.atptour.com/en/players/gael-monfils/mc65/overview,"6,208","2,686",62%,73%,50%,"4,738",62%,"9,457",81%,64%,32%,49%,"5,773",41%,"9,455",25%,39%,51%
11,12,Denis Shapovalov,21,"2,830",30,https://www.atptour.com/en/players/denis-shapovalov/su55/overview,"1,435",886,59%,76%,52%,"1,076",64%,"2,272",83%,66%,28%,48%,"1,168",37%,"2,262",19%,36%,51%
12,13,Roberto Bautista Agut,32,"2,710",25,https://www.atptour.com/en/players/roberto-bautista-agut/bd06/overview,"1,500",936,66%,70%,54%,"3,083",62%,"5,875",80%,64%,31%,53%,"3,680",42%,"5,761",27%,40%,52%
