Date,Singles,Doubles
2020.11.30,30,502
2020.11.23,30,499
2020.11.16,30,497
2020.11.09,30,492
2020.11.02,34,490
2020.10.26,32,487
2020.10.19,38,482
2020.10.12,38,480
2020.09.28,38,474
2020.09.21,41,472
2020.09.14,42,468
2020.08.31,42,467
2020.08.24,42,465
2020.03.16,42,464
2020.03.09,42,460
2020.03.02,42,452
2020.02.24,43,455
2020.02.17,44,454
2020.02.10,43,369
2020.02.03,43,369
2020.01.20,43,370
2020.01.13,57,370
2020.01.06,56,366
2019.12.30,57,367
2019.12.23,57,367
2019.12.16,57,366
2019.12.09,57,367
2019.12.02,57,366
2019.11.25,57,369
2019.11.18,54,371
2019.11.11,54,368
2019.11.04,55,371
2019.10.28,56,371
2019.10.21,63,366
2019.10.14,70,361
2019.10.07,65,366
2019.09.30,63,367
2019.09.23,65,366
2019.09.16,65,512
2019.09.09,72,518
2019.08.26,63,518
2019.08.19,62,515
2019.08.12,62,517
2019.08.05,59,518
2019.07.29,50,389T
2019.07.22,46,392T
2019.07.15,48,389
2019.07.01,66,377
2019.06.24,64,376
2019.06.17,64,490
2019.06.10,64,491
2019.05.27,61,480
2019.05.20,61,482
2019.05.13,62,482
2019.05.06,63,480
2019.04.29,64,479
2019.04.22,65,481
2019.04.15,64,481
2019.04.08,63,483
2019.04.01,63,481
2019.03.18,63,486
2019.03.11,66,485
2019.03.04,66,485
2019.02.25,63,487
2019.02.18,75,486
2019.02.11,88,686
2019.02.04,86,684
2019.01.28,91,685
2019.01.14,95,688
2019.01.07,98,688
2018.12.31,102,690
2018.12.24,102,690
2018.12.17,84,713
2018.12.10,84,712
2018.12.03,84,715
2018.11.26,84,715
2018.11.19,100,714
2018.11.12,98,713
2018.11.05,98,712
2018.10.29,99,708
2018.10.22,92,593
2018.10.15,99,595
2018.10.08,112,598
2018.10.01,109,598
2018.09.24,110,602
2018.09.17,108,603
2018.09.10,104,612
2018.08.27,139,618
2018.08.20,139,519
2018.08.13,142,514
2018.08.06,141,515
2018.07.30,184,468
2018.07.23,219,468
2018.07.16,257,444
2018.07.02,290,687
2018.06.25,294,692
2018.06.18,294,699
2018.06.11,298,705
2018.05.28,296,693
2018.05.21,293,688
2018.05.14,296,687
2018.05.07,296,687
2018.04.30,297,677
2018.04.23,308,672
2018.04.16,306,677
2018.04.09,303,682
2018.04.02,301,678
2018.03.19,311,675
2018.03.05,328,683
2018.02.26,331,681
2018.02.19,366,682
2018.02.12,368,681
2018.02.05,369,679
2018.01.29,372,677
2018.01.15,381,681
2018.01.08,378,681
2018.01.01,378,679
2017.12.25,381,677
2017.12.18,381,679
2017.12.11,380,683
2017.12.04,382,684
2017.11.27,374,686
2017.11.20,370,687
2017.11.13,369,691
2017.11.06,368,697
2017.10.30,404,697
2017.10.23,474,868T
2017.10.16,477,870T
2017.10.09,474,873
2017.10.02,487,870
2017.09.25,488,875
2017.09.18,505,874
2017.09.11,717,872
2017.08.28,717,879T
2017.08.21,710,1076
2017.08.14,707,1075
2017.08.07,733,948
2017.07.31,722,1125T
2017.07.24,724,1128T
2017.07.17,724,1412T
2017.07.10,766,1404T
2017.07.03,766,1404T
2017.06.26,754,1379T
2017.06.19,756,1378T
2017.06.12,758,1382T
2017.05.29,771,1396T
2017.05.22,761,1385T
2017.05.15,764,1392T
2017.05.08,764,1389T
2017.05.01,769,1391T
2017.04.24,768,1399T
2017.04.17,789,1405T
2017.04.10,785,1409T
2017.04.03,781,1402T
2017.03.20,787,1405T
2017.03.06,1150T,1408T
2017.02.27,1150,1411T
2017.02.20,1150,1404T
2017.02.13,1150,1410T
2017.02.06,1148,1408T
2017.01.30,1149T,1403T
2017.01.16,1199,1390T
2017.01.09,995,1390T
2017.01.02,995,1391T
2016.12.26,992,1380T
2016.12.19,982,1365T
2016.12.12,1008,1369T
2016.12.05,1007,1370T
2016.11.28,1072,1377T
2016.11.21,1103,1373T
2016.11.14,1065,1384T
2016.11.07,1129T,1381T
2016.10.31,1129T,1395T
2016.10.24,1116T,1387T
2016.10.17,1122,1388T
2016.10.10,1125,1384T
2016.10.03,891,1387T
2016.09.26,890,1399T
2016.09.19,893,1386T
2016.09.12,898,1402T
2016.08.29,902,1405T
2016.08.22,894,1409T
2016.08.15,892,1406T
2016.08.08,891,0
2016.08.01,889,0
2016.07.25,886,0
2016.07.18,886,0
2016.07.11,881,0
2016.06.27,880,0
2016.06.20,882,0
2016.06.13,891,0
2016.06.06,895,0
2016.05.23,898,0
2016.05.16,899,0
2016.05.09,907,0
2016.05.02,907,0
2016.04.25,911,0
2016.04.18,912,0
2016.04.11,909,0
2016.04.04,908,0
2016.03.21,910,0
2016.03.07,909,0
2016.02.29,912,0
2016.02.22,914,0
2016.02.15,911,0
2016.02.08,909,0
2016.02.01,907,0
2016.01.18,910,0
2016.01.11,1020T,0
2016.01.04,1021T,0
2015.12.28,1021T,0
2015.12.21,1022T,0
2015.12.14,1022T,0
2015.12.07,1019T,0
2015.11.30,1015T,0
2015.11.23,1015T,0
2015.11.16,1048,0
2015.11.09,1042,0
2015.11.02,1042,0
2015.10.26,1039,0
2015.10.19,1035T,0
2015.10.12,1043,0
2015.10.05,0,0
2015.09.28,0,0
2015.09.21,0,0
2015.09.14,0,0
2015.08.31,0,0
2015.08.24,0,0
2015.08.17,0,0
2015.08.10,0,0
2015.08.03,0,0
2015.07.27,0,0
2015.07.20,0,0
2015.07.13,0,0
2015.06.29,0,0
2015.06.22,0,0
2015.06.15,0,0
2015.06.08,0,0
2015.05.25,0,0
2015.05.18,0,0
2015.05.11,0,0
2015.05.04,0,0
2015.04.27,0,0
2015.04.20,0,0
2015.04.13,0,0
2015.04.06,0,0
2015.03.23,0,0
