,1st Serve Return Points Won,2nd Serve Return Points Won,Break Points Opportunities,Break Points Converted,Return Games Played,Return Games Won,Return Points Won,Total Points Won
0,34%,55%,"9,497",44%,"13,141",32%,42%,54%
1,34%,55%,"10,299",45%,"13,824",34%,42%,55%
2,30%,50%,"3,376",39%,"5,605",24%,38%,51%
3,30%,53%,"1,812",40%,"2,921",25%,39%,52%
4,33%,51%,"11,822",41%,"18,229",27%,40%,54%
5,28%,48%,"1,344",38%,"2,625",20%,36%,51%
6,30%,51%,"2,747",42%,"4,639",25%,38%,51%
7,30%,53%,"1,592",40%,"2,566",25%,39%,51%
8,33%,55%,"2,688",44%,"3,698",32%,42%,51%
9,27%,47%,772,35%,"1,566",17%,35%,51%
10,32%,49%,"5,773",41%,"9,455",25%,39%,51%
11,28%,48%,"1,168",37%,"2,262",19%,36%,51%
12,31%,53%,"3,680",42%,"5,761",27%,40%,52%
13,27%,46%,"2,930",36%,"6,638",16%,34%,52%
14,31%,53%,"3,526",41%,"5,301",27%,40%,51%
15,29%,52%,"2,576",42%,"4,341",25%,38%,50%
16,32%,51%,"4,964",43%,"7,875",27%,39%,50%
17,30%,49%,"6,075",39%,"10,484",23%,38%,51%
18,30%,49%,"3,771",38%,"6,642",22%,37%,51%
19,28%,50%,"1,614",41%,"3,117",21%,37%,51%
20,29%,47%,684,38%,"1,331",19%,36%,51%
21,30%,50%,661,40%,"1,126",23%,37%,50%
22,29%,52%,975,40%,"1,695",23%,38%,51%
23,27%,50%,"1,888",39%,"3,534",21%,36%,50%
24,23%,42%,"3,249",30%,"9,514",10%,30%,51%
25,28%,48%,"1,792",40%,"3,453",21%,36%,49%
26,27%,49%,660,40%,"1,202",22%,36%,50%
27,31%,49%,"3,452",40%,"5,802",24%,38%,50%
28,26%,49%,"1,221",35%,"2,430",18%,35%,50%
29,27%,48%,533,38%,"1,045",19%,35%,51%
30,29%,51%,"1,081",41%,"1,825",24%,38%,50%
31,30%,50%,998,41%,"1,746",23%,38%,50%
32,27%,45%,457,35%,"1,018",16%,34%,49%
33,27%,48%,571,39%,"1,166",19%,35%,50%
34,29%,50%,"2,848",42%,"5,320",22%,37%,50%
35,27%,49%,"1,803",38%,"3,605",19%,35%,50%
36,32%,51%,369,43%,593,27%,39%,51%
37,28%,51%,"1,324",41%,"2,371",23%,37%,50%
38,20%,41%,412,29%,"1,233",10%,28%,49%
39,28%,50%,"1,416",38%,"2,504",21%,37%,49%
40,31%,53%,"4,689",41%,"7,070",27%,40%,52%
41,30%,50%,"5,637",39%,"9,587",23%,38%,52%
42,28%,51%,"1,628",37%,"2,886",21%,37%,50%
43,26%,52%,464,40%,875,21%,36%,50%
44,24%,47%,"1,300",39%,"3,174",16%,33%,51%
45,29%,50%,"3,121",40%,"5,513",23%,37%,50%
46,30%,51%,"6,171",41%,"10,198",25%,38%,52%
