,Aces,Double Faults,1st Serve,1st Serve Points Won,2nd Serve Points Won,Break Points Faced,Break Points Saved,Service Games Played,Service Games Won,Total Service Points Won
0,"5,870","2,478",65%,74%,55%,"5,573",65%,"13,516",86%,67%
1,"3,604","1,878",68%,72%,57%,"5,926",67%,"13,943",86%,67%
2,"2,615","1,244",60%,74%,53%,"2,569",63%,"5,592",83%,66%
3,"1,881",815,59%,74%,52%,"1,389",62%,"2,909",82%,65%
4,"11,344","2,742",62%,77%,57%,"6,367",67%,"18,630",89%,70%
5,"1,455",477,62%,76%,54%,"1,075",64%,"2,677",85%,67%
6,"2,942","1,554",64%,74%,49%,"2,191",61%,"4,635",81%,65%
7,"1,241",664,60%,73%,50%,"1,357",61%,"2,544",79%,64%
8,678,857,62%,66%,50%,"2,322",56%,"3,652",72%,60%
9,"1,022",258,61%,77%,54%,627,66%,"1,563",86%,68%
10,"6,208","2,686",62%,73%,50%,"4,738",62%,"9,457",81%,64%
11,"1,435",886,59%,76%,52%,"1,076",64%,"2,272",83%,66%
12,"1,500",936,66%,70%,54%,"3,083",62%,"5,875",80%,64%
13,"7,916","1,655",63%,81%,55%,"1,945",70%,"6,721",91%,72%
14,"2,324","1,503",58%,71%,51%,"2,952",60%,"5,248",77%,63%
15,"1,444",649,64%,69%,52%,"2,442",61%,"4,333",78%,63%
16,"2,113","2,527",59%,67%,48%,"5,113",57%,"7,822",72%,60%
17,"5,845","2,107",58%,74%,54%,"5,112",64%,"10,662",83%,65%
18,"3,695","1,851",62%,74%,51%,"3,179",63%,"6,753",83%,66%
19,"1,948",689,61%,74%,51%,"1,493",63%,"3,103",82%,65%
20,938,493,64%,74%,49%,726,64%,"1,349",81%,65%
21,401,287,61%,70%,49%,665,60%,"1,124",76%,62%
22,536,365,61%,71%,53%,874,62%,"1,686",80%,64%
23,"1,667",643,62%,72%,53%,"1,757",61%,"3,508",81%,65%
24,"12,365","1,540",69%,79%,56%,"2,710",71%,"9,621",92%,72%
25,"1,080",518,66%,68%,52%,"1,946",60%,"3,442",77%,63%
26,436,257,66%,70%,52%,635,63%,"1,222",81%,64%
27,"3,962","2,251",52%,75%,46%,"3,652",60%,"5,793",75%,61%
28,"1,778",484,59%,75%,50%,"1,179",62%,"2,449",82%,65%
